# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Mar 05 20:42:08 PST 2025 [seed=1741236084154]
state	country.rates.Argentina.Brazil	country.rates.Argentina.Colombia	country.rates.Argentina.Ecuador	country.rates.Argentina.Venezuela	country.rates.Brazil.Colombia	country.rates.Brazil.Ecuador	country.rates.Brazil.Venezuela	country.rates.Colombia.Ecuador	country.rates.Colombia.Venezuela	country.rates.Ecuador.Venezuela	country.indicators.Argentina.Brazil	country.indicators.Argentina.Colombia	country.indicators.Argentina.Ecuador	country.indicators.Argentina.Venezuela	country.indicators.Brazil.Colombia	country.indicators.Brazil.Ecuador	country.indicators.Brazil.Venezuela	country.indicators.Colombia.Ecuador	country.indicators.Colombia.Venezuela	country.indicators.Ecuador.Venezuela	country.nonZeroRates
20000	3.648927410692511	0.03957763253471441	0.8935908525637144	0.2786069402499525	0.7409000000297604	1.258786840104105	0.5247678928324873	0.2748895926499614	1.6366942824999782	0.29471860537275846	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	6.0
21000	1.313567042683349	0.5451080905135317	0.4308601517694147	0.7581171393061044	0.27467147697720057	0.473182177107414	0.9219188204831624	1.0259234093626668	1.9378795240097035	0.7248699964610077	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	5.0
22000	0.2555866300222265	0.14340159366829056	0.6825134530060363	0.19458996943904944	0.5784292569050372	1.102633749807061	0.5799539428844716	0.5977128972889492	0.9067253350266058	0.32596909031171434	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	5.0
23000	1.4113706753338169	0.735982617184328	0.11458269129104798	0.36241025953626893	0.36022670393543377	0.47810577374821667	0.22423792594358008	0.380910458878812	1.213801217708356	0.29791475769168707	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	5.0
24000	0.3125769576223028	1.2478992201969	0.4704447963882978	0.5036957066083856	0.22659416123375475	0.88277906632882	0.38218218840189255	0.12446487767949643	0.8967583501845375	0.5003116582424608	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	5.0
25000	2.714657822847271	1.369310719130787	0.2534235334629243	1.7658808725102224	0.22147601528777328	0.6878577864134646	0.24547596673459	0.39282580001235595	1.5878321888482942	0.8541417056778676	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	6.0
26000	1.2778346670270693	1.2297659081670849	0.6276110967090086	0.3404169260343216	0.9878272963004843	0.4769351122995634	0.6684722259302535	0.15588543794179027	4.135058728461037	3.1122491456928216	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	6.0
27000	1.262962134193797	1.754564622610372	1.737841520496844	0.757371952772445	0.8243589901377762	0.5747373854995161	0.9933350734587617	0.2091009863735003	1.958667324732934	1.1413032642216905	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	5.0
28000	1.468872441014394	1.5694331221818543	1.4129097607436916	0.19438935235165822	0.35082967235865653	0.1006351436541096	0.14539636239633413	0.3918661683622329	1.849813476253963	0.31181076825356924	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	6.0
29000	1.0565050543771317	1.9378231414909362	0.34365257421743484	0.34113787880620944	0.9903822487423396	0.47844480753750046	1.0277937321533785	0.8264423395551181	2.883966272493125	0.5729001603839929	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	5.0
